aliceblue - eisfarben	240,248,255	#f0f8ff
magenta - Magenta (magenta = fuchsia)	255,0,255	#ff00ff
maroon - Kastanie	128,0,0	#800000
mediumaquamarine - mittleres Aquamarin	102,205,170	#66cdaa
mediumblue - mittleres Blau	0,0,205	#0000cd
mediumorchid - mittlere Orchedee	186,85,211	#ba55d3
mediumpurple - mittleres Violett	147,112,219	#9370db
mediumseagreen - mittleres Seegrün	60,179,113	#3cb371
mediumslateblue - mittleres Schieferblau	#,104,238	#7b68ee
mediumspringgreen - mittleres Frühlingsgrün	0,250,154	#00fa9a
mediumturquoise - mittlere Türkis	72,209,204	#48d1cc
mediumvioletred - mittleres Violettrot	199,21,133	#c71585
midnightblue - Mitternachtsblau	25,25,112	#191970
mintcream - cremige Minze	245,255,250	#f5fffa
mistyrose - Altrosa	255,228,225	#ffe4e1
moccasin - Mokassin	255,228,181	#ffe4b5
navajowhite - Navajoweiß	255,222,173	#ffdead
navy - Marinenblau	0,0,128	#000080
oldlace - alte Spitze	253,245,230	#fdf5e6
olive - Olivgrün	128,128,0	#808000
olivedrab  - Olivgraubraun	107,142,35	#6b8e23
orange - Orange	255,165,0	#ffa500
orangered - Orangerot	255,69,0	#ff4500
orchid - Orchidee	218,112,214	#da70d6
palegoldenrod - blasse Goldrutenfarbe	238,232,170	#eee8aa
palegreen - Blassgrün	152,251,152	#98fb98
paleturquoise - Blasstürkis	175,238,238	#afeeee
palevioletred - blasses Violettrot	219,112,147	#db7093
papayawhip - Papayacreme	255,239,213	#ffefd5
peachpuff - Pfirsich	255,218,185	#ffdab9
peru -Peru	205,133,63	#cd853f
pink - Rosa	255,192,203	#ffc0cb
plum - Pflaume	221,160,221	#dda0dd
powderblue - Taubenblau	176,224,230	#b0e0e6
purple - Violett	128,0,128	#800080
red - Rot	255,0,0	#ff0000
rosybrown - rosiges Braun	188,143,143	#bc8f8f
royalblue - Königsblau	65,105,225	#4169e1
saddlebrown - Sattelbraun	139,69,19	#8b4513
salmon - lachsfarben	250,128,114	#fa8072
sandybrown - Sandbraun	244,164,96	#f4a460
seagreen - Seegrün	46,139,87	#2e8b57
seashell - Muschel	255,245,238	#fff5ee
sienna - Siennaerde	160,82,45	#a0522d
silver - SIlber	192,192,192	#c0c0c0
skyblue - Himmelblau	135,206,235	#87ceeb
slateblue - Schieferblau	106,90,205	#6a5acd
slategrey - Schiefergrau	112,128,144	#708090
snow - Schneeweiß	255,250,250	#fffafa
springgreen - Frühlingsgrün	0,255,127	#00ff7f
steelblue - Stahlblau	70,130,180	#4682b4
tan - hautfarben	210,180,140	#d2b48c
teal - Krickentengrün	0,128,128	#008080
thistle - Distel	216,191,216	#d8bfd8
tomato - Tomate	255,99,71	#ff6347
turquoise - Türkis	64,224,208	#40e0d0
violet - Veilchen	238,130,238	#ee82ee
wheat - Weizen	245,222,179	#f5deb3
white - Weiß	255,255,255	#ffffff
whitesmoke - rauchfarben	245,245,245	#f5f5f5
yellow - Gelb	255,255,0	#ffff00
yellowgreen - Gelbgrün	154,205,50	#9acd32
